Category,Keyword,Volume,KD%,CPC (USD),Intent,Priority,Notes
LANDSCAPING,"garden landscape near me",n/a,n/a,n/a,Transactional,RESEARCH,check Google KP
FENCING,"fencing glasgow",390,16,1.52,Commercial,HIGH,seo1.csv - good volume low KD
FENCING,"glasgow fencing",170,21,1.79,Commercial,HIGH,seo1.csv
FENCING,"garden fencing glasgow",170,8,0,Commercial,HIGH,seo1.csv - KD only 8!
FENCING,"fence panels glasgow",210,13,0.57,Commercial,HIGH,seo1.csv
FENCING,"composite fencing glasgow",140,9,1.40,Commercial,HIGH,seo1.csv - low KD
FENCING,"fencing suppliers glasgow",90,17,0.90,Commercial,MEDIUM,seo1.csv
FENCING,"fencing supplies glasgow",170,16,0.90,Commercial,MEDIUM,seo1.csv
FENCING,"fencing falkirk",110,8,1.72,Commercial,HIGH,seo1.csv - nearby area
ARTIFICIAL GRASS,"artificial grass glasgow",880,8,1.01,Commercial,HIGH,seo1.csv - KD only 8! Best opportunity
ARTIFICIAL GRASS,"synthetic grass glasgow",260,9,1.01,Commercial,HIGH,seo1.csv
ARTIFICIAL GRASS,"artificial lawn glasgow",170,13,1.01,Commercial,HIGH,seo1.csv
ARTIFICIAL GRASS,"artificial turf glasgow",170,9,1.01,Commercial,HIGH,seo1.csv
ARTIFICIAL GRASS,"artificial grass installation glasgow",140,18,1.60,Commercial,HIGH,seo1.csv
ARTIFICIAL GRASS,"artificial grass east kilbride",480,5,0.93,Commercial,HIGH,seo1.csv - KD only 5!
ARTIFICIAL GRASS,"artificial grass motherwell",260,8,0,Commercial,HIGH,seo1.csv
ARTIFICIAL GRASS,"artificial grass scotland",390,28,1.09,Commercial,MEDIUM,seo1.csv
ARTIFICIAL GRASS,"artificial grass edinburgh",480,12,1.25,Commercial,HIGH,seo1.csv
ARTIFICIAL GRASS,"artificial grass cleaning glasgow",210,4,0,Commercial,HIGH,seo1.csv - KD only 4!
ARTIFICIAL GRASS,"grass direct glasgow",90,25,0.65,Navigational,LOW,competitor brand
DECKING,"decking glasgow",170,10,1.36,Commercial,HIGH,seo1.csv - low KD
DECKING,"composite decking glasgow",590,9,2.22,Commercial,HIGH,seo1.csv - high vol low KD!
DECKING,"decking edinburgh",210,9,2.29,Commercial,HIGH,seo1.csv
HOUSE EXTENSIONS,"house extensions glasgow",170,7,2.85,Commercial,HIGH,seo1.csv - KD only 7!
HOUSE EXTENSIONS,"home extensions glasgow",140,9,3.20,Commercial,HIGH,seo1.csv
HOUSE EXTENSIONS,"garage conversions glasgow",210,5,2.89,Commercial,HIGH,seo1.csv - KD only 5!
HOUSE EXTENSIONS,"garage conversion glasgow",260,7,2.89,Commercial,HIGH,seo1.csv
HOUSE EXTENSIONS,"loft conversion glasgow",260,6,1.49,Commercial,HIGH,seo1.csv - KD only 6!
HOUSE EXTENSIONS,"home extensions scotland",260,12,2.05,Commercial,HIGH,seo1.csv
HOUSE EXTENSIONS,"house extensions near me",720,17,5.27,Transactional,HIGH,seo1.csv - national
ROUGHCASTING,"roughcasting glasgow",140,5,3.64,Commercial,HIGH,seo1.csv - KD only 5!
ROOFING,"glasgow roofing",260,30,4.91,Commercial,MEDIUM,seo1.csv - higher KD
ROOFING,"glasgow roofers",320,33,4.91,Commercial,MEDIUM,seo1.csv - higher KD
